상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,건물명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
007부동산,부동산,부동산중개,부동산중개,부동산 자문 및 중개업,하안3단지고층주공아파트,경기도 광명시 하안동 650,경기도 광명시 안현로 34,14248,37.4627132201,126.8759020251
1001안경콘택트,소매,사진/광학/정밀기기소매,안경원,안경 소매업,일청빌딩,경기도 광명시 철산동 484-5,경기도 광명시 오리로 857,14250,37.4748207897,126.8661818557
1001안경콘택트,소매,사진/광학/정밀기기소매,안경원,안경 소매업,,경기도 광명시 광명동 141-2,경기도 광명시 광명로 926-1,14220,37.4813493298,126.8556214836
1004의섬,음식,일식/수산물,수산물전문음식점-종합,한식 음식점업,,경기도 광명시 광명동 158-859,경기도 광명시 오리로 1009,14285,37.4800731631,126.8510677559
100G훈련소,스포츠,실내운동시설,헬스클럽,체력단련시설 운영업,,경기도 광명시 광명동 724-13,경기도 광명시 도덕로 43,14276,37.468794468,126.852458362
101포차,음식,유흥주점,소주방/포장마차,기타 주점업,,경기도 광명시 광명동 21-30,경기도 광명시 사성로 16-1,14210,37.4853991455,126.8591524976
119부동산,부동산,부동산중개,부동산중개,부동산 자문 및 중개업,도덕파크타운,경기도 광명시 철산동 617,경기도 광명시 도덕공원로 17,14253,37.4708205558,126.8663474023
11번가,음식,유흥주점,호프/맥주,기타 주점업,,경기도 광명시 광명동 158-460,경기도 광명시 오리로949번길 22,14266,37.47660212,126.8564560832
153COMPANY,생활서비스,사진,사진관,인물사진 및 행사용비디오 촬영업,하안6단지고층주공아파트,경기도 광명시 하안동 296,경기도 광명시 금당로 11,14305,37.4598497395,126.8774892515
153분식,음식,분식,라면김밥분식,분식 및 김밥 전문점,,경기도 광명시 광명동 208-3,경기도 광명시 너부대로 48-3,14288,37.4779551888,126.8505746
1569,음식,유흥주점,호프/맥주,기타 주점업,하안주공10단지일반상가,경기도 광명시 하안동 26,경기도 광명시 안현로 80,14247,37.4670155577,126.8802354168
1961안동본가국밥,음식,한식,해장국/감자탕,한식 음식점업,철산시장,경기도 광명시 철산동 440,경기도 광명시 철산로30번길 15,14239,37.4747894643,126.8703195401
1979동태마운탕쭈꾸미,음식,일식/수산물,낙지/오징어,한식 음식점업,,경기도 광명시 광명동 104-17,경기도 광명시 광명로928번길 7,14219,37.4814851679,126.856175211
1번청과,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,,경기도 광명시 광명동 136-14,경기도 광명시 오리로964번길 18,14221,37.4803777028,126.8567878912
2000헤어,생활서비스,이/미용/건강,여성미용실,두발미용업,,경기도 광명시 광명동 158-784,경기도 광명시 광명로 884,14267,37.4777341069,126.8538423192
2001,소매,종합소매점,할인점,기타 대형 종합 소매업,이천일아울렛,경기도 광명시 철산동 261,경기도 광명시 철산로 4,14237,37.4751822043,126.8670629914
2001아울렛철산더페이스샵,소매,화장품소매,화장품판매점,화장품 및 방향제 소매업,이천일아울렛,경기도 광명시 철산동 261,경기도 광명시 철산로 4,14237,37.4751822043,126.8670629914
2001아울렛철산점더카페2,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,이천일아울렛,경기도 광명시 철산동 261,경기도 광명시 철산로 4,14237,37.4751822043,126.8670629914
